0	also thought it hard to agree
1	good negotiator
0	are scared
0	do not want to work
1	humanitarian spirit
0	something disadvantageous
1	watertight
0	poured all kinds of abusive words
1	have supported
0	criticisms
1	opportunity
1	am pleased
0	not sufficient
0	merely a gesture
0	victimizing the lives
0	thanks to a deft mix of populist policies , nationalist rhetoric , and political patronage
0	empty handed
0	have been growing less visionary
1	to peace and stability
0	were seething
0	obvious disagreement
0	verbal attack
1	accepted
1	should forge unity
1	go into the streets en masse and defend and support
0	know
1	wanted
1	enthusiastic
0	plunged the palestinians and israelis into an endless cycle of violence
0	threat
0	enthusiast
0	might agree
0	tactless actions
0	in its hands
0	preposterous
1	had planned
1	full support
1	left no avenue unexplored
0	gaffe
1	genuinely democratic constitution enshrining universally recognised norms
0	factual inaccuracies
0	never allowed
0	odious
0	violence
1	to promote
0	sheer lies
0	feel
0	strong denunciation
1	kept peeking
1	may all hope
0	find nothing positive
1	intelligent , rational
1	supports
0	as notorious as devil 's island
0	despotic
0	slammed
0	they want to hold us hostage
1	legitimate
0	rigging
0	such an excuse
0	undermine
1	regards
0	must push for punitive action against mr mugabe
0	aimed
0	continuing
1	his victory speech
1	environmental public spiritedness
1	will help renew
0	substantial challenge
0	absence of democracy
0	will not allow
1	take the lead
0	it is not clear
1	recognition
0	deepened
0	refusing
1	thrown its weight behind
0	as punishment for not voting the correct way
0	bloody riot
0	pretends
0	now resembles the destruction of the very people
1	seek liberation
1	called for
0	charged
0	too good
1	was hoping
0	was forced out
0	radicalize the palestinians even further
0	flawed
0	strong objections
0	likely to be understaffed
0	attacks
0	flawed
1	supported
0	threatening
0	if not the perpetrator of the sabra and shatila massacres
0	showed its true hostility
0	assassin
0	interfering
0	largest illusion
1	victory
0	failed
0	provoke
0	ill disciplined
0	inflicted terrible death and pain on people on this continent
0	highest
1	constructive and cooperative ties
1	warm
1	would withstand
1	congratulated
0	israel be harshly condemned
0	ballooned far beyond
1	not ruin its relations with the arabs
0	being discriminated against
1	fully grasp
0	is afraid
0	humiliates
0	reckless
0	caustically criticized
0	called on
0	desperation
0	threatening the world 's peace
0	somewhat insane
0	will consult with no one
0	the insult to human sensibilities
0	loss of innocent lives
1	has promised
1	would n't it be better
1	like
1	doing the same now
1	wo n't be sacrificed
0	may not be feasible
0	condemned
0	unstable situation
0	to be used as a bargaining chip
0	failed to take decisive action
1	would not be traded away
1	seeking
0	very negative
0	kind to the enemy and hard on friends
0	crimes of war
1	quite a leap forward
0	pinned the tag
0	concern
0	particularly affected would be
0	its burning territorial ambition
0	was rejected
1	its backing
0	deep social polarization
0	slams
1	support
0	must be taken to trial for treason
1	the agreement
0	for fear of
1	advise
1	gradually promoted
0	losing currency
0	have been deprived of all their national and human rights
0	reckless
0	demonstrations
0	lie
0	he was going to demand
1	wold rather
0	little chance of success
0	violates
1	opened a new path
0	manipulation
1	seeks
0	storming palestinian territories
1	bringing an end to terrorism and the taliban
0	rock throwing youths responded
0	futile
0	too high
0	other nations may try to do the same in less dire times
0	complaints and inquires
0	in turn
1	all manner of
0	overshadowed by the midst of the tragic events
0	the plight of prisoners and politicians
1	believe
0	pejorative
0	opposes and rejects
1	wanted
1	a friend
0	can never forget
0	power at all costs
1	boasts
0	blamed
0	purposes of intimidation and exaggeration
0	masterminded
0	old man
0	undermining everything
1	most audacious
1	wisely
1	support
1	have considered
0	not only
0	abusive language
1	peaceful settlement
0	violated human rights
0	denouncing
1	one of the goals
1	with the specific objective
0	violated his military oath
1	supposed to approve and participate in
1	good will
1	mutual desire
0	defective nature of our constitutional framework
0	too is seriously damaged
0	dissatisfaction
0	true threat
0	doubly difficult
0	marred by state sponsored violence
0	alleged
1	invited
0	terrorists
1	to accept
1	freedom
0	is greatly responsible
0	therefore planning to trigger wars here and there
1	approve
0	impatience
1	am very pleased
0	banned
0	without any international legitimacy
1	wants
0	the major enemy
0	utilizing force in an inappropriate volume
0	could not be said
1	put him at an advantage
1	for the benefit and well being of future generations all over the planet
1	counting on
0	protest
1	let 's support them
0	believing
1	adopted
0	evildoer
0	has turned into an axis of evil itself
0	are nervous
0	hostility to
1	will be respected
0	has been very critical
1	just wanted
0	fell short
1	be happy
0	were dismissed
1	support
1	protect the environment
0	severely criticized
0	concerning themselves
0	opposed
1	wishes
0	sent an official protest
0	is a telling example of a new and perhaps risky approach
0	is already under fire
1	strugglers
0	cold
0	lumping
1	exemplary
0	with each passing day
1	support
0	political cynicism
0	bitter experience
0	world 's most prominent self styled palestinian refugee
0	feel
0	the illusion
1	relatively mild
0	will surely be on the president 's lips
0	give or take a trillion
0	no more than
0	these leaks had put his life in danger
0	showered upon favours
0	ongoing devastation
0	subsequently denied
0	backing away
0	throttling
0	is ready to declare war
0	not holding any lengthy debates
0	was worried
1	see
0	compatriots
0	false
0	called
0	increasingly isolated on the international stage
0	suspect electoral practices
0	the action of several military generals
0	interfered
0	open to widespread abuse
1	a forerunner in the sphere of human rights in the world
1	could lead to an opening
1	support
1	more quickly
0	dedicate themselves to lamenting
0	it 's a challenge
0	threatened
0	condemned
0	they get fed better than us
0	refusal
1	most interesting
1	will help spur
0	soon erode
0	falls far short
0	brutalizing
0	purported
1	not in any way contrary
0	but instead
1	robust
0	not a legitimate government
0	dissent
0	are not appropriate
0	launched campaigns against
0	it may cloud my assessment
1	eradicate
1	will be able to handle any kind of incident
0	axis of evil remark
0	against all hope
0	reputation was ruined
1	nonbelligerent
1	came to the support of
1	support
1	fair
1	am sure
0	ignore the consequences
0	concerning their life and death
1	sustainable development and environmental protection
1	may have changed
0	sponsor terrorism
0	complete unwillingness to raise
0	rhetorical petards
0	because
0	making it easier to stuff ballot boxes
0	atmosphere of conflict
1	the support
1	demand
0	being staged under the guise of an election
0	rejects
1	very constructive
1	legitimate
0	threaten our society
0	growing frustration
0	abandon
1	wwanted
0	the axis of evil remark
0	it had all been in vain
0	distress
0	has allowed itself to infringe international rules
0	criticism
0	are seen
0	chief opponent of
1	will bear witness
0	stop intervening
1	supported
0	is firmly opposed to
1	right to exist
0	sat back with arms folded would have made us all hostages
0	violent
0	delivering further criticism
1	am confident
0	excessive
0	against
0	brands
0	violent reaction
0	attack on our global village
0	absorb such a burden
0	dictatorial regime
1	taken responsibility for
0	heightened concern
0	split the motherland
0	may be
0	was rebuffed
0	was reluctant
1	to promote
1	was more than confident
0	profit from
0	scares away
0	do n't bother
0	cheated
0	simply because
0	cow
0	unleashed oppression
1	vowed
0	lacks a coherent
0	total confusion of historical data
0	they stand with empty pockets and their hands empty , out toward alberta
0	embody the bankrupt policy of israeli criminal extremism
0	reducing their margin of security
0	are not satisfied with
0	enemies
0	crowding some of them out of existence
0	was in fact violating the rights of millions of people throughout the world
1	help of the almighty god
1	friend
0	not satisfactory
1	proposed
0	fight terrorism alone
0	personally offended
0	do not
0	accused
0	be reproached
0	be seen
0	warned
1	wants to create
1	the euro , our currency
1	plans
1	welcomed
1	develop its relations
1	exerting every effort possible
1	will do whatever it takes to defend our security
1	scope for more improvement
0	she was playing games
0	come out opposing
0	collective illusion
0	a terrorist act
1	confident
1	greatly improved
0	the israeli criminals of war
0	hardly convincing
0	utmost suffering
0	further criticism
0	instead of
1	takes a great deal of pride
0	labeled
0	despite everything
0	american imperialists
0	access of evil
0	simple lack of respect
1	demand
0	never stopped to consider
0	criticism
1	valiant people
1	treated well
1	has absolute confidence
1	invited
1	be willing
0	as if the crowd and people 's nerves were already not enough to heat up the atmosphere
0	aghast
0	designed to benefit mugabe
1	hope
0	denounced
1	commitments
1	importance
1	profess relief
1	respect for
0	such a disadvantageous situation
0	warned
1	dialogue and coexistence
1	resolute commitment
1	there is no reason for it to be impossible
0	will be a monumental tragedy
0	a naive , patently stupid young man who chose the wrong heroes
1	because it believes in victory
1	will now agree
0	`world judge of human rights'
0	warning
0	terror compound
1	hot showers
0	the efficiency of bulgarian dmv workers
0	has been roundly condemned
0	embark on trampling upon human rights of civilians
0	the guilt or otherwise
0	suffering
1	put his nation first
0	criticism
0	to put it mildly
0	whose land was occupied
1	pleases
0	had warned
1	legitimate
0	leaks
0	can not accept
0	refused
0	slaughtered
1	effective
1	do wish
1	healthy
0	seriously threatened
1	formation of good economic neighborhood
1	may bring change
0	voiced opposition
0	upped the intensity
0	to deny
0	act of betrayal against mankind
0	flawed
0	clearly influenced by the greeks
1	called on
0	could approve
0	would cause japan and the republic of korea ( rok ) feel disturbed
0	labeling
1	can actually enhance our competitiveness
0	unpopular system
0	decisions
0	willfulness
1	have pressed
0	opposes
1	pass up the biggest chance of his political life
0	pretexts
0	viciously
0	are waiting anxiously
0	comprehensively blamed
1	welcomed
0	axis of evil
0	legal or illegal
